Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-12,NL,NL,desktop,25025,2119,16031
2022-09-05,NL,NL,desktop,24832,2190,15764
2022-08-29,NL,NL,desktop,24120,2187,15467
2022-09-06,NL,NL,desktop,23223,2244,14993
2022-09-08,NL,NL,desktop,23175,2132,15306
2022-09-26,NL,NL,desktop,23125,1804,14495
2022-09-13,NL,NL,desktop,22733,1871,14421
2022-08-30,NL,NL,desktop,22685,1998,14515
2022-08-22,NL,NL,desktop,22492,1865,14378
2022-09-19,NL,NL,desktop,22423,1706,13758
2022-09-07,NL,NL,desktop,22384,1955,14667
2022-09-20,NL,NL,desktop,21599,1630,13385
2022-08-31,NL,NL,desktop,21455,2067,13929
2022-09-14,NL,NL,desktop,21206,1859,13296
2022-09-21,NL,NL,desktop,21000,1781,13396
2022-09-27,NL,NL,desktop,20691,1790,13309
2022-08-23,NL,NL,desktop,20676,1929,13220
2022-09-01,NL,NL,desktop,20037,1900,12654
2022-08-24,NL,NL,desktop,19917,1787,12422
2022-09-09,NL,NL,desktop,19775,1875,12804
2022-09-15,NL,NL,desktop,19670,1730,12369
2022-09-28,NL,NL,desktop,19256,1697,12358
2022-09-16,NL,NL,desktop,19020,1473,11421
2022-08-25,NL,NL,desktop,18797,1727,11782
2022-09-22,NL,NL,desktop,18711,1490,11672
2022-09-29,NL,NL,desktop,18193,1519,11197
2022-09-02,NL,NL,desktop,17998,1703,11291
2022-09-23,NL,NL,desktop,17694,1395,10911
2022-08-26,NL,NL,desktop,17475,1654,10953
2022-09-18,NL,NL,desktop,14981,1217,9571
2022-09-11,NL,NL,desktop,13584,1383,9106
2022-09-18,NL,NL,mobile,13272,127,7532
2022-09-08,NL,NL,mobile,13234,158,8416
2022-09-04,NL,NL,desktop,13231,1245,8789
2022-09-25,NL,NL,desktop,13026,1171,8524
2022-09-04,NL,NL,mobile,12976,162,8386
2022-08-28,NL,NL,desktop,12645,1251,8378
2022-08-24,NL,NL,mobile,12598,191,7060
2022-08-28,NL,NL,mobile,12531,159,7690
2022-09-11,NL,NL,mobile,12474,190,8072
2022-09-17,NL,NL,desktop,12443,963,7103
2022-09-17,NL,NL,mobile,12423,152,6627
2022-09-05,NL,NL,mobile,12391,185,7434
2022-09-12,NL,NL,mobile,12077,160,7459
2022-09-01,NL,NL,mobile,11927,158,6732
2022-09-06,NL,NL,mobile,11865,179,7531
2022-08-31,NL,NL,mobile,11804,206,6943
2022-09-07,NL,NL,mobile,11759,170,7544
2022-08-22,NL,NL,mobile,11722,198,7289
2022-09-10,NL,NL,desktop,11304,1078,7421
2022-08-25,NL,NL,mobile,11297,191,6586
2022-08-29,NL,NL,mobile,11241,160,6942
2022-09-13,US,US,desktop,11209,648,5146
2022-08-23,NL,NL,mobile,11184,155,6784
2022-08-27,NL,NL,mobile,11178,202,6705
2022-09-13,NL,NL,mobile,11178,170,6954
2022-09-02,NL,NL,mobile,11049,156,6639
2022-09-25,NL,NL,mobile,11043,141,7080
2022-09-24,NL,NL,desktop,10895,937,6810
2022-09-16,NL,NL,mobile,10795,133,6170
2022-08-30,NL,NL,mobile,10726,177,6637
2022-09-10,NL,NL,mobile,10645,169,6765
2022-09-09,NL,NL,mobile,10568,189,6497
2022-09-03,NL,NL,mobile,10556,152,6422
2022-08-27,NL,NL,desktop,10547,1034,6829
2022-08-26,NL,NL,mobile,10442,179,6127
2022-09-15,US,US,desktop,10392,585,4919
2022-09-20,US,US,desktop,10334,599,5028
2022-09-14,NL,NL,mobile,10194,190,6315
2022-09-12,US,US,desktop,10167,588,4981
2022-09-19,NL,NL,mobile,10161,142,6029
2022-09-21,NL,NL,mobile,10101,142,6319
2022-09-03,NL,NL,desktop,10097,994,6346
2022-09-20,NL,NL,mobile,10091,133,6185
2022-09-14,US,US,desktop,9931,684,4963
2022-09-24,NL,NL,mobile,9900,129,6186
2022-09-07,US,US,desktop,9833,604,4968
2022-09-26,NL,NL,mobile,9814,126,6305
2022-09-19,US,US,desktop,9726,595,4630
2022-09-15,NL,NL,mobile,9697,141,6038
2022-09-08,US,US,desktop,9541,640,4831
2022-09-16,US,US,desktop,9510,591,4382
