Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
1970-01-01 00:00:00.020220912,NL,NL,desktop,25025,2119,16031
1970-01-01 00:00:00.020220905,NL,NL,desktop,24832,2190,15764
1970-01-01 00:00:00.020220829,NL,NL,desktop,24120,2187,15467
1970-01-01 00:00:00.020220906,NL,NL,desktop,23223,2244,14993
1970-01-01 00:00:00.020220908,NL,NL,desktop,23175,2132,15306
1970-01-01 00:00:00.020220926,NL,NL,desktop,23125,1804,14495
1970-01-01 00:00:00.020220913,NL,NL,desktop,22733,1871,14421
1970-01-01 00:00:00.020220830,NL,NL,desktop,22685,1998,14515
1970-01-01 00:00:00.020220822,NL,NL,desktop,22492,1865,14378
1970-01-01 00:00:00.020220919,NL,NL,desktop,22423,1706,13758
1970-01-01 00:00:00.020220907,NL,NL,desktop,22384,1955,14667
1970-01-01 00:00:00.020220920,NL,NL,desktop,21599,1630,13385
1970-01-01 00:00:00.020220831,NL,NL,desktop,21455,2067,13929
1970-01-01 00:00:00.020220914,NL,NL,desktop,21206,1859,13296
1970-01-01 00:00:00.020220921,NL,NL,desktop,21000,1781,13396
1970-01-01 00:00:00.020220927,NL,NL,desktop,20691,1790,13309
1970-01-01 00:00:00.020220823,NL,NL,desktop,20676,1929,13220
1970-01-01 00:00:00.020220901,NL,NL,desktop,20037,1900,12654
1970-01-01 00:00:00.020220824,NL,NL,desktop,19917,1787,12422
1970-01-01 00:00:00.020220909,NL,NL,desktop,19775,1875,12804
1970-01-01 00:00:00.020220915,NL,NL,desktop,19670,1730,12369
1970-01-01 00:00:00.020220928,NL,NL,desktop,19256,1697,12358
1970-01-01 00:00:00.020220916,NL,NL,desktop,19020,1473,11421
1970-01-01 00:00:00.020220825,NL,NL,desktop,18797,1727,11782
1970-01-01 00:00:00.020220922,NL,NL,desktop,18711,1490,11672
1970-01-01 00:00:00.020220929,NL,NL,desktop,18193,1519,11197
1970-01-01 00:00:00.020220902,NL,NL,desktop,17998,1703,11291
1970-01-01 00:00:00.020220923,NL,NL,desktop,17694,1395,10911
1970-01-01 00:00:00.020220826,NL,NL,desktop,17475,1654,10953
1970-01-01 00:00:00.020220918,NL,NL,desktop,14981,1217,9571
1970-01-01 00:00:00.020220911,NL,NL,desktop,13584,1383,9106
1970-01-01 00:00:00.020220918,NL,NL,mobile,13272,127,7532
1970-01-01 00:00:00.020220908,NL,NL,mobile,13234,158,8416
1970-01-01 00:00:00.020220904,NL,NL,desktop,13231,1245,8789
1970-01-01 00:00:00.020220925,NL,NL,desktop,13026,1171,8524
1970-01-01 00:00:00.020220904,NL,NL,mobile,12976,162,8386
1970-01-01 00:00:00.020220828,NL,NL,desktop,12645,1251,8378
1970-01-01 00:00:00.020220824,NL,NL,mobile,12598,191,7060
1970-01-01 00:00:00.020220828,NL,NL,mobile,12531,159,7690
1970-01-01 00:00:00.020220911,NL,NL,mobile,12474,190,8072
1970-01-01 00:00:00.020220917,NL,NL,desktop,12443,963,7103
1970-01-01 00:00:00.020220917,NL,NL,mobile,12423,152,6627
1970-01-01 00:00:00.020220905,NL,NL,mobile,12391,185,7434
1970-01-01 00:00:00.020220912,NL,NL,mobile,12077,160,7459
1970-01-01 00:00:00.020220901,NL,NL,mobile,11927,158,6732
1970-01-01 00:00:00.020220906,NL,NL,mobile,11865,179,7531
1970-01-01 00:00:00.020220831,NL,NL,mobile,11804,206,6943
1970-01-01 00:00:00.020220907,NL,NL,mobile,11759,170,7544
1970-01-01 00:00:00.020220822,NL,NL,mobile,11722,198,7289
1970-01-01 00:00:00.020220910,NL,NL,desktop,11304,1078,7421
1970-01-01 00:00:00.020220825,NL,NL,mobile,11297,191,6586
1970-01-01 00:00:00.020220829,NL,NL,mobile,11241,160,6942
1970-01-01 00:00:00.020220913,US,US,desktop,11209,648,5146
1970-01-01 00:00:00.020220823,NL,NL,mobile,11184,155,6784
1970-01-01 00:00:00.020220827,NL,NL,mobile,11178,202,6705
